mode,compiler,trial,cores,batch_size,repetition,wall_time_s,peak_rss_mb
bulk,gcc,trial_9,8,75,1,22.1416,390.56
bulk,clang,trial_9,4,75,1,15.5236,149.75
bulk,clang,trial_9,8,75,1,17.2099,413.8
bulk,gcc,trial_9,1,75,1,17.3814,81.38
bulk,clang,trial_9,1,75,1,14.2157,59.82
seq,gcc,trial_9,1,-,1,23.6642,201.15
seq,clang,trial_9,2,-,1,20.2079,80.33
seq,gcc,trial_9,2,-,1,24.252,105.92
seq,clang,trial_9,4,-,1,21.1382,258.79
seq,gcc,trial_9,4,-,1,26.896,620.1
seq,clang,trial_9,8,-,1,20.3266,162.84
seq,gcc,trial_9,8,-,1,24.9281,1120.65
seq,clang,trial_10,1,-,1,16.2579,37.04
bulk,gcc,trial_10,2,25,1,15.7409,244.17
bulk,gcc,trial_10,4,25,1,21.4601,258.82
bulk,clang,trial_10,4,25,1,14.6354,248.37
bulk,clang,trial_10,2,25,1,13.9176,76.63
bulk,gcc,trial_10,1,25,1,14.0557,84.18
bulk,clang,trial_10,1,25,1,14.0236,42.17
bulk,gcc,trial_10,8,25,1,23.4944,1198.38
bulk,clang,trial_10,8,25,1,17.0475,305.7
bulk,gcc,trial_10,2,5,1,23.0265,198.26
bulk,clang,trial_10,2,5,1,17.4352,56.7
bulk,clang,trial_10,4,5,1,18.063,100.21
bulk,clang,trial_10,1,5,1,12.7286,37.16
bulk,clang,trial_10,8,5,1,19.7218,461.0
bulk,gcc,trial_10,4,5,1,22.0946,206.38
bulk,gcc,trial_10,8,5,1,27.6394,732.99
bulk,gcc,trial_10,1,5,1,19.7058,90.9
bulk,clang,trial_10,1,50,1,11.2784,82.18
bulk,clang,trial_10,8,50,1,17.2806,315.54
bulk,gcc,trial_10,8,50,1,20.7297,1407.4
bulk,gcc,trial_10,1,50,1,14.9975,184.28
bulk,gcc,trial_10,2,50,1,18.2701,271.05
bulk,clang,trial_10,2,50,1,13.0164,107.71
bulk,clang,trial_10,4,50,1,16.6945,163.48
bulk,gcc,trial_10,4,50,1,18.5568,250.27
bulk,clang,trial_10,2,75,1,14.5215,83.72
bulk,gcc,trial_10,2,75,1,18.0143,248.95
bulk,gcc,trial_10,4,75,1,17.4483,668.22
bulk,gcc,trial_10,8,75,1,22.0724,753.55
bulk,clang,trial_10,4,75,1,15.4284,246.75
bulk,clang,trial_10,8,75,1,17.5437,283.56
bulk,gcc,trial_10,1,75,1,17.411,135.72
bulk,clang,trial_10,1,75,1,11.8304,34.88
seq,gcc,trial_10,1,-,1,24.2747,86.2
seq,clang,trial_10,2,-,1,19.0976,73.44
seq,gcc,trial_10,2,-,1,25.4202,271.21
seq,clang,trial_10,4,-,1,19.7414,121.29
seq,gcc,trial_10,4,-,1,25.0261,307.05
seq,clang,trial_10,8,-,1,21.9088,286.79
seq,gcc,trial_10,8,-,1,24.5251,911.32
seq,clang,trial_11,1,-,1,19.928,37.48
bulk,gcc,trial_11,2,25,1,16.2054,281.59
bulk,gcc,trial_11,4,25,1,20.4401,529.75
bulk,clang,trial_11,4,25,1,14.6084,126.19
bulk,clang,trial_11,2,25,1,13.7754,94.81
bulk,gcc,trial_11,1,25,1,15.7918,161.2
bulk,clang,trial_11,1,25,1,12.4471,59.08
bulk,gcc,trial_11,8,25,1,22.0161,502.89
bulk,clang,trial_11,8,25,1,18.6809,411.22
bulk,gcc,trial_11,2,5,1,23.0879,174.69
bulk,clang,trial_11,2,5,1,16.8822,62.04
bulk,clang,trial_11,4,5,1,17.8815,68.24
bulk,clang,trial_11,1,5,1,15.739,40.16
bulk,clang,trial_11,8,5,1,20.2707,298.82
bulk,gcc,trial_11,4,5,1,21.0142,206.38
bulk,gcc,trial_11,8,5,1,22.2695,712.1
bulk,gcc,trial_11,1,5,1,20.2524,124.75
bulk,clang,trial_11,1,50,1,11.7929,53.02
bulk,clang,trial_11,8,50,1,18.5242,264.17
bulk,gcc,trial_11,8,50,1,21.7599,1427.61
bulk,gcc,trial_11,1,50,1,16.5342,135.04
bulk,gcc,trial_11,2,50,1,18.788,138.43
bulk,clang,trial_11,2,50,1,14.1544,122.73
bulk,clang,trial_11,4,50,1,16.9351,91.39
